GID,Trait,Env,Response
176,GY,PUL15,6.79758
177,GY,PUL15,7.11418
178,GY,PUL15,7.42995
179,GY,PUL15,8.81428
180,GY,PUL15,6.87698
181,GY,PUL15,7.03488
182,GY,PUL15,8.33958
183,GY,PUL15,7.78578
184,GY,PUL15,9.32728
185,GY,PUL15,7.46998
186,GY,PUL15,7.03488
187,GY,PUL15,7.35138
188,GY,PUL15,6.77888
189,GY,PUL15,6.26528
190,GY,PUL15,8.12288
191,GY,PUL15,8.51878
192,GY,PUL15,6.58098
193,GY,PUL15,7.41128
194,GY,PUL15,7.60916
195,GY,PUL15,7.64848
196,GY,PUL15,8.20218
197,GY,PUL15,9.30928
198,GY,PUL15,8.51878
199,GY,PUL15,9.15128
200,GY,PUL15,7.96498
201,GY,PUL15,8.12288
202,GY,PUL15,8.20218
203,GY,PUL15,6.97688
204,GY,PUL15,7.17398
205,GY,PUL15,7.96498
206,GY,PUL15,6.85818
207,GY,PUL15,7.13468
208,GY,PUL15,7.01608
209,GY,PUL15,7.29258
210,GY,PUL15,7.25338
211,GY,PUL15,6.42328
212,GY,PUL15,7.25338
213,GY,PUL15,6.77888
214,GY,PUL15,6.43228
215,GY,PUL15,7.60916
216,GY,PUL15,7.18348
217,GY,PUL15,7.14348
218,GY,PUL15,5.72028
219,GY,PUL15,4.52528
220,GY,PUL15,5.67228
221,GY,PUL15,4.68328
222,GY,PUL15,8.25098
223,GY,PUL15,6.61988
224,GY,PUL15,8.75028
225,GY,PUL15,7.48944
226,GY,PUL15,6.85708
227,GY,PUL15,9.38728
228,GY,PUL15,7.76598
229,GY,PUL15,7.37088
230,GY,PUL15,7.92458
231,GY,PUL15,8.12178
232,GY,PUL15,6.38228
233,GY,PUL15,5.71028
234,GY,PUL15,5.47328
235,GY,PUL15,4.91928
236,GY,PUL15,6.18428
237,GY,PUL15,6.93568
238,GY,PUL15,6.10528
239,GY,PUL15,7.33158
240,GY,PUL15,6.85708
241,GY,PUL15,7.45015
242,GY,PUL15,6.93568
243,GY,PUL15,7.72668
244,GY,PUL15,6.30328
245,GY,PUL15,6.46128
246,GY,PUL15,6.73848
247,GY,PUL15,6.69848
248,GY,PUL15,5.78928
249,GY,PUL15,7.528732
250,GY,PUL15,4.99828
251,GY,PUL15,7.85508
252,GY,PUL15,6.65918
253,GY,PUL15,6.42228
254,GY,PUL15,7.37088
255,GY,PUL15,6.85708
256,GY,PUL15,6.97568
257,GY,PUL15,7.68738
258,GY,PUL15,8.16178
259,GY,PUL15,8.08248
260,GY,PUL15,7.21298
261,GY,PUL15,6.81708
262,GY,PUL15,7.25218
263,GY,PUL15,7.57821
264,GY,PUL15,7.10378
265,GY,PUL15,6.82728
266,GY,PUL15,6.62938
267,GY,PUL15,6.47128
268,GY,PUL15,7.42032
269,GY,PUL15,6.02828
270,GY,PUL15,6.93678
271,GY,PUL15,5.90928
272,GY,PUL15,5.94828
273,GY,PUL15,5.83028
274,GY,PUL15,6.22528
275,GY,PUL15,6.58008
276,GY,PUL15,6.73868
277,GY,PUL15,7.41028
278,GY,PUL15,7.84548
279,GY,PUL15,8.35918
280,GY,PUL15,7.64748
281,GY,PUL15,7.72688
282,GY,PUL15,7.33178
283,GY,PUL15,6.68898
284,GY,PUL15,7.33178
285,GY,PUL15,8.12198
286,GY,PUL15,6.74798
287,GY,PUL15,7.10378
288,GY,PUL15,6.98558
289,GY,PUL15,6.34328
290,GY,PUL15,7.21308
291,GY,PUL15,7.21308
292,GY,PUL15,7.528917
293,GY,PUL15,7.60824
294,GY,PUL15,7.25238
295,GY,PUL15,7.09448
296,GY,PUL15,6.73868
297,GY,PUL15,7.33178
298,GY,PUL15,7.72688
299,GY,PUL15,6.70868
300,GY,PUL15,6.62938
301,GY,PUL15,6.86658
302,GY,PUL15,7.18308
303,GY,PUL15,6.70868
304,GY,PUL15,7.06448
305,GY,PUL15,6.86658
306,GY,PUL15,6.90658
307,GY,PUL15,7.93408
308,GY,PUL15,7.89478
309,GY,PUL15,7.97408
310,GY,PUL15,6.94588
311,GY,PUL15,7.02518
312,GY,PUL15,6.59008
313,GY,PUL15,6.60968
314,GY,PUL15,8.32988
315,GY,PUL15,6.39228
316,GY,PUL15,7.14378
317,GY,PUL15,6.39228
318,GY,PUL15,6.70868
319,GY,PUL15,6.19528
320,GY,PUL15,6.82728
321,GY,PUL15,7.10378
322,GY,PUL15,6.86658
323,GY,PUL15,6.47128
324,GY,PUL15,6.81728
325,GY,PUL15,6.89658
326,GY,PUL15,6.86658
327,GY,PUL15,7.61824
328,GY,PUL15,5.91728
329,GY,PUL15,7.71718
330,GY,PUL15,7.51928
331,GY,PUL15,6.13528
332,GY,PUL15,7.27838
333,GY,PUL15,8.51768
334,GY,PUL15,8.47758
335,GY,PUL15,7.528732
336,GY,PUL15,9.18928
337,GY,PUL15,5.03828
338,GY,PUL15,6.89638
339,GY,PUL15,7.45015
340,GY,PUL15,7.13358
341,GY,PUL15,7.01498
342,GY,PUL15,7.09428
343,GY,PUL15,8.31968
344,GY,PUL15,7.60805
345,GY,PUL15,7.84528
346,GY,PUL15,8.55728
347,GY,PUL15,8.04318
348,GY,PUL15,6.93568
349,GY,PUL15,6.06628
350,GY,PUL15,5.67128
351,GY,PUL15,5.43428
352,GY,PUL15,5.67128
353,GY,PUL15,6.50128
354,GY,PUL15,7.528732
355,GY,PUL15,7.91458
356,GY,PUL15,6.53058
357,GY,PUL15,8.90228
358,GY,PUL15,9.02128
359,GY,PUL15,4.91028
360,GY,PUL15,5.89828
361,GY,PUL15,5.70028
362,GY,PUL15,5.77928
363,GY,PUL15,5.97728
364,GY,PUL15,6.13528
365,GY,PUL15,6.72848
366,GY,PUL15,6.57058
367,GY,PUL15,6.84708
368,GY,PUL15,6.33328
369,GY,PUL15,6.01728
370,GY,PUL15,7.55875
371,GY,PUL15,7.04508
372,GY,PUL15,6.64918
373,GY,PUL15,7.12358
374,GY,PUL15,6.49128
375,GY,PUL15,6.33328
376,GY,PUL15,6.13528
377,GY,PUL15,6.72848
378,GY,PUL15,7.32158
379,GY,PUL15,6.72848
380,GY,PUL15,5.46328
381,GY,PUL15,7.08428
382,GY,PUL15,6.33328
383,GY,PUL15,6.96568
384,GY,PUL15,6.88638
385,GY,PUL15,5.93728
386,GY,PUL15,6.45228
387,GY,PUL15,5.66128
388,GY,PUL15,7.00498
389,GY,PUL15,6.88638
390,GY,PUL15,6.60988
391,GY,PUL15,5.22628
392,GY,PUL15,7.63808
393,GY,PUL15,7.28228
394,GY,PUL15,7.28228
395,GY,PUL15,7.42013
396,GY,PUL15,8.21108
397,GY,PUL15,7.18288
398,GY,PUL15,7.06428
399,GY,PUL15,7.46016
400,GY,PUL15,4.02028
401,GY,PUL15,7.73668
402,GY,PUL15,7.42013
403,GY,PUL15,7.81598
404,GY,PUL15,7.34158
405,GY,PUL15,7.34158
406,GY,PUL15,7.18288
407,GY,PUL15,6.86708
408,GY,PUL15,6.51128
409,GY,PUL15,5.52228
410,GY,PUL15,5.72028
411,GY,PUL15,5.72028
412,GY,PUL15,5.48328
413,GY,PUL15,5.60128
414,GY,PUL15,5.99728
415,GY,PUL15,5.83928
416,GY,PUL15,6.78778
417,GY,PUL15,6.07628
418,GY,PUL15,5.95728
419,GY,PUL15,6.51128
420,GY,PUL15,6.90638
421,GY,PUL15,6.66918
422,GY,PUL15,6.70848
423,GY,PUL15,6.62988
424,GY,PUL15,5.99728
425,GY,PUL15,5.04828
426,GY,PUL15,4.73228
427,GY,PUL15,4.92928
428,GY,PUL15,4.73228
429,GY,PUL15,5.72028
430,GY,PUL15,5.95728
431,GY,PUL15,6.15528
432,GY,PUL15,6.70868
433,GY,PUL15,6.39228
434,GY,PUL15,6.86658
435,GY,PUL15,5.16628
436,GY,PUL15,5.79928
437,GY,PUL15,5.79928
438,GY,PUL15,6.11528
439,GY,PUL15,7.85548
440,GY,PUL15,7.65758
441,GY,PUL15,7.61824
442,GY,PUL15,8.40848
443,GY,PUL15,7.49964
444,GY,PUL15,7.89478
445,GY,PUL15,8.09268
446,GY,PUL15,8.17128
447,GY,PUL15,7.89478
448,GY,PUL15,7.81548
449,GY,PUL15,7.81548
450,GY,PUL15,8.28988
451,GY,PUL15,7.02518
452,GY,PUL15,7.65758
453,GY,PUL15,7.49964
454,GY,PUL15,6.27328
455,GY,PUL15,6.94588
456,GY,PUL15,7.26238
1,GY,PUL16,4.5643
2,GY,PUL16,5.75826
3,GY,PUL16,3.59476
4,GY,PUL16,5.70826
5,GY,PUL16,3.59476
6,GY,PUL16,5.03166
7,GY,PUL16,6.36626
8,GY,PUL16,6.43226
9,GY,PUL16,4.77156
10,GY,PUL16,4.51068
11,GY,PUL16,4.60826
12,GY,PUL16,5.16176
13,GY,PUL16,4.86906
14,GY,PUL16,5.91126
15,GY,PUL16,5.70826
16,GY,PUL16,5.26296
17,GY,PUL16,6.97726
18,GY,PUL16,5.47026
19,GY,PUL16,5.95526
20,GY,PUL16,5.53926
21,GY,PUL16,5.05536
22,GY,PUL16,4.5413
23,GY,PUL16,6.12826
24,GY,PUL16,6.23826
25,GY,PUL16,6.26626
26,GY,PUL16,5.87026
27,GY,PUL16,4.43059
28,GY,PUL16,3.24926
29,GY,PUL16,5.61126
30,GY,PUL16,4.69626
31,GY,PUL16,5.72126
32,GY,PUL16,5.02076
33,GY,PUL16,6.09126
34,GY,PUL16,4.36696
35,GY,PUL16,4.93706
36,GY,PUL16,5.77526
37,GY,PUL16,5.77526
38,GY,PUL16,5.33976
39,GY,PUL16,7.04026
40,GY,PUL16,4.86906
41,GY,PUL16,5.38526
42,GY,PUL16,5.25106
43,GY,PUL16,5.71526
44,GY,PUL16,4.92136
45,GY,PUL16,5.88126
46,GY,PUL16,4.49719
47,GY,PUL16,4.25506
48,GY,PUL16,5.63926
49,GY,PUL16,5.96426
50,GY,PUL16,6.33426
51,GY,PUL16,5.36066
52,GY,PUL16,5.39456
53,GY,PUL16,5.79726
54,GY,PUL16,5.18906
55,GY,PUL16,5.33566
56,GY,PUL16,5.06716
57,GY,PUL16,4.12756
58,GY,PUL16,5.10036
59,GY,PUL16,4.89906
60,GY,PUL16,4.89906
61,GY,PUL16,5.46926
62,GY,PUL16,4.69766
63,GY,PUL16,5.21266
64,GY,PUL16,5.20136
65,GY,PUL16,5.17316
66,GY,PUL16,4.85696
67,GY,PUL16,4.5214
68,GY,PUL16,4.59816
69,GY,PUL16,5.47526
70,GY,PUL16,5.73326
71,GY,PUL16,6.06626
72,GY,PUL16,6.42426
73,GY,PUL16,4.89346
74,GY,PUL16,3.78836
75,GY,PUL16,5.19706
76,GY,PUL16,6.39826
77,GY,PUL16,6.21726
78,GY,PUL16,4.14016
79,GY,PUL16,6.16326
80,GY,PUL16,4.92136
81,GY,PUL16,4.88676
82,GY,PUL16,5.56926
83,GY,PUL16,5.54426
84,GY,PUL16,6.13226
85,GY,PUL16,6.00026
86,GY,PUL16,5.12756
87,GY,PUL16,4.42315
88,GY,PUL16,5.06716
89,GY,PUL16,6.13626
90,GY,PUL16,5.80226
91,GY,PUL16,5.90626
92,GY,PUL16,7.00626
93,GY,PUL16,5.50626
94,GY,PUL16,5.93226
95,GY,PUL16,5.60326
96,GY,PUL16,5.34596
97,GY,PUL16,5.80426
98,GY,PUL16,6.16026
99,GY,PUL16,6.50826
100,GY,PUL16,6.71026
101,GY,PUL16,6.81126
102,GY,PUL16,5.73726
103,GY,PUL16,6.24126
104,GY,PUL16,4.49632
105,GY,PUL16,5.93826
106,GY,PUL16,6.84426
107,GY,PUL16,5.70326
108,GY,PUL16,6.57526
109,GY,PUL16,6.64226
110,GY,PUL16,7.11226
111,GY,PUL16,6.40826
112,GY,PUL16,4.42851
113,GY,PUL16,6.66026
114,GY,PUL16,4.33076
115,GY,PUL16,6.94126
116,GY,PUL16,5.14396
117,GY,PUL16,5.18336
118,GY,PUL16,6.84426
119,GY,PUL16,3.95796
120,GY,PUL16,5.14396
121,GY,PUL16,6.29026
122,GY,PUL16,5.38126
123,GY,PUL16,3.40426
124,GY,PUL16,5.10456
125,GY,PUL16,6.01326
126,GY,PUL16,5.23386
127,GY,PUL16,7.43726
128,GY,PUL16,5.01856
129,GY,PUL16,5.51426
130,GY,PUL16,5.32366
131,GY,PUL16,5.85826
132,GY,PUL16,6.36426
133,GY,PUL16,5.95926
134,GY,PUL16,6.08726
135,GY,PUL16,5.55226
136,GY,PUL16,5.58926
137,GY,PUL16,5.25726
138,GY,PUL16,4.40897
139,GY,PUL16,5.70026
140,GY,PUL16,3.74476
141,GY,PUL16,6.14326
142,GY,PUL16,5.36796
143,GY,PUL16,5.99526
144,GY,PUL16,5.70026
145,GY,PUL16,4.03946
146,GY,PUL16,5.58826
147,GY,PUL16,5.34516
148,GY,PUL16,4.41104
149,GY,PUL16,5.58726
150,GY,PUL16,5.84926
151,GY,PUL16,5.53826
152,GY,PUL16,5.79626
153,GY,PUL16,5.39966
154,GY,PUL16,3.11626
155,GY,PUL16,6.27626
156,GY,PUL16,5.22666
157,GY,PUL16,5.64826
158,GY,PUL16,5.87026
159,GY,PUL16,5.15746
160,GY,PUL16,3.98116
161,GY,PUL16,6.02226
162,GY,PUL16,5.26126
163,GY,PUL16,4.15416
164,GY,PUL16,6.19526
165,GY,PUL16,5.26126
166,GY,PUL16,6.78326
167,GY,PUL16,6.78326
168,GY,PUL16,7.12926
169,GY,PUL16,5.25226
170,GY,PUL16,6.25226
171,GY,PUL16,5.91826
172,GY,PUL16,4.39772
173,GY,PUL16,5.10206
174,GY,PUL16,6.04126
175,GY,PUL16,2.08226
176,GY,PUL16,4.90076
177,GY,PUL16,3.02226
178,GY,PUL16,5.15606
179,GY,PUL16,4.43093
180,GY,PUL16,3.20926
181,GY,PUL16,3.78196
182,GY,PUL16,5.19416
183,GY,PUL16,3.01826
184,GY,PUL16,6.45426
185,GY,PUL16,5.34706
186,GY,PUL16,4.73606
187,GY,PUL16,4.58386
188,GY,PUL16,5.32036
189,GY,PUL16,2.87726
190,GY,PUL16,6.35126
191,GY,PUL16,7.11426
192,GY,PUL16,5.11286
193,GY,PUL16,5.54926
194,GY,PUL16,6.33026
195,GY,PUL16,6.18326
196,GY,PUL16,5.11286
197,GY,PUL16,5.07616
198,GY,PUL16,4.07976
199,GY,PUL16,4.35656
200,GY,PUL16,5.56726
201,GY,PUL16,3.56086
202,GY,PUL16,3.52626
203,GY,PUL16,4.04516
204,GY,PUL16,6.31026
205,GY,PUL16,6.05626
206,GY,PUL16,6.09926
207,GY,PUL16,5.70826
208,GY,PUL16,6.81126
209,GY,PUL16,6.55426
210,GY,PUL16,6.78226
211,GY,PUL16,6.22926
212,GY,PUL16,5.31696
213,GY,PUL16,6.03426
214,GY,PUL16,3.68126
215,GY,PUL16,5.93526
216,GY,PUL16,5.85226
217,GY,PUL16,6.04226
218,GY,PUL16,6.31526
219,GY,PUL16,3.55876
220,GY,PUL16,6.32626
221,GY,PUL16,4.53576
222,GY,PUL16,6.61526
223,GY,PUL16,4.91566
224,GY,PUL16,4.95366
225,GY,PUL16,5.33566
226,GY,PUL16,4.91566
227,GY,PUL16,5.48826
228,GY,PUL16,5.41176
229,GY,PUL16,5.14466
230,GY,PUL16,5.48826
231,GY,PUL16,5.52626
232,GY,PUL16,5.52626
233,GY,PUL16,5.19096
234,GY,PUL16,5.05676
235,GY,PUL16,6.14526
236,GY,PUL16,5.91726
237,GY,PUL16,7.08926
238,GY,PUL16,5.89526
239,GY,PUL16,7.77426
240,GY,PUL16,5.29206
241,GY,PUL16,6.09626
242,GY,PUL16,6.16426
243,GY,PUL16,6.76826
244,GY,PUL16,5.99626
245,GY,PUL16,5.99626
246,GY,PUL16,8.21026
247,GY,PUL16,7.37226
248,GY,PUL16,7.03626
249,GY,PUL16,6.53326
250,GY,PUL16,6.33226
251,GY,PUL16,6.34826
252,GY,PUL16,5.89526
253,GY,PUL16,5.72826
254,GY,PUL16,6.76826
255,GY,PUL16,6.86126
256,GY,PUL16,6.30826
257,GY,PUL16,5.75426
258,GY,PUL16,6.56826
259,GY,PUL16,6.55526
260,GY,PUL16,5.83126
261,GY,PUL16,5.45046
262,GY,PUL16,5.22146
263,GY,PUL16,5.72926
264,GY,PUL16,5.05746
265,GY,PUL16,4.19876
266,GY,PUL16,5.21596
267,GY,PUL16,5.72626
268,GY,PUL16,5.76426
269,GY,PUL16,6.97726
270,GY,PUL16,5.51226
271,GY,PUL16,5.70726
272,GY,PUL16,6.57926
273,GY,PUL16,6.57926
274,GY,PUL16,6.41126
275,GY,PUL16,6.62926
276,GY,PUL16,6.49926
277,GY,PUL16,6.59726
278,GY,PUL16,6.90426
279,GY,PUL16,6.20026
280,GY,PUL16,6.16626
281,GY,PUL16,5.88126
282,GY,PUL16,4.98156
283,GY,PUL16,7.72326
284,GY,PUL16,5.25826
285,GY,PUL16,5.43126
286,GY,PUL16,5.49626
287,GY,PUL16,6.56526
288,GY,PUL16,6.42026
289,GY,PUL16,6.16726
290,GY,PUL16,6.09026
291,GY,PUL16,5.77026
292,GY,PUL16,5.03206
293,GY,PUL16,4.92136
294,GY,PUL16,6.15826
295,GY,PUL16,5.29286
296,GY,PUL16,5.50026
297,GY,PUL16,6.25026
298,GY,PUL16,5.58526
299,GY,PUL16,6.79426
300,GY,PUL16,7.05026
301,GY,PUL16,5.50026
302,GY,PUL16,5.15296
303,GY,PUL16,4.06876
304,GY,PUL16,5.24226
305,GY,PUL16,6.31226
306,GY,PUL16,6.23826
307,GY,PUL16,6.49626
308,GY,PUL16,6.02626
309,GY,PUL16,5.71526
310,GY,PUL16,5.78426
311,GY,PUL16,6.05426
312,GY,PUL16,5.98026
313,GY,PUL16,6.09526
314,GY,PUL16,6.44926
315,GY,PUL16,6.78526
316,GY,PUL16,6.04726
317,GY,PUL16,6.28226
318,GY,PUL16,6.24826
319,GY,PUL16,5.44356
320,GY,PUL16,5.51026
321,GY,PUL16,6.51626
322,GY,PUL16,7.79226
323,GY,PUL16,5.40966
324,GY,PUL16,6.31626
325,GY,PUL16,4.67846
326,GY,PUL16,6.04726
327,GY,PUL16,5.84526
328,GY,PUL16,4.23546
329,GY,PUL16,6.42126
330,GY,PUL16,4.46726
331,GY,PUL16,5.17166
332,GY,PUL16,6.14426
333,GY,PUL16,6.47426
334,GY,PUL16,6.30126
335,GY,PUL16,6.85126
336,GY,PUL16,5.92026
337,GY,PUL16,3.91376
338,GY,PUL16,5.84226
339,GY,PUL16,5.28856
340,GY,PUL16,5.06716
341,GY,PUL16,5.58326
342,GY,PUL16,5.25116
343,GY,PUL16,4.88246
344,GY,PUL16,4.43266
345,GY,PUL16,6.61226
346,GY,PUL16,6.54326
347,GY,PUL16,5.74726
348,GY,PUL16,5.53926
349,GY,PUL16,5.05536
350,GY,PUL16,5.15916
351,GY,PUL16,4.74406
352,GY,PUL16,4.81326
353,GY,PUL16,4.50186
354,GY,PUL16,3.98296
355,GY,PUL16,5.71626
356,GY,PUL16,4.12506
357,GY,PUL16,4.471066
358,GY,PUL16,5.95826
359,GY,PUL16,5.26676
360,GY,PUL16,4.12506
361,GY,PUL16,5.47426
362,GY,PUL16,6.27026
363,GY,PUL16,5.31796
364,GY,PUL16,4.88206
365,GY,PUL16,5.75726
366,GY,PUL16,4.78106
367,GY,PUL16,5.55326
368,GY,PUL16,5.68726
369,GY,PUL16,6.32426
370,GY,PUL16,6.39226
371,GY,PUL16,5.68726
372,GY,PUL16,6.08926
373,GY,PUL16,5.75426
374,GY,PUL16,5.45216
375,GY,PUL16,6.82726
376,GY,PUL16,6.55926
377,GY,PUL16,6.29126
378,GY,PUL16,6.32426
379,GY,PUL16,5.78826
380,GY,PUL16,5.18376
381,GY,PUL16,4.92086
382,GY,PUL16,5.08346
383,GY,PUL16,6.69326
384,GY,PUL16,4.67866
385,GY,PUL16,5.88926
386,GY,PUL16,6.61626
387,GY,PUL16,5.85526
388,GY,PUL16,5.85526
389,GY,PUL16,5.70726
390,GY,PUL16,5.52326
391,GY,PUL16,5.11666
392,GY,PUL16,5.55926
393,GY,PUL16,5.78126
394,GY,PUL16,5.55926
395,GY,PUL16,5.42816
396,GY,PUL16,5.20676
397,GY,PUL16,5.50226
398,GY,PUL16,5.86326
399,GY,PUL16,5.74426
400,GY,PUL16,4.71616
401,GY,PUL16,5.39006
402,GY,PUL16,5.03306
403,GY,PUL16,4.35916
404,GY,PUL16,5.27526
405,GY,PUL16,5.50726
406,GY,PUL16,5.50426
407,GY,PUL16,5.46626
408,GY,PUL16,5.46626
409,GY,PUL16,5.87126
410,GY,PUL16,5.28976
411,GY,PUL16,5.28976
412,GY,PUL16,4.87466
413,GY,PUL16,6.06526
414,GY,PUL16,5.69626
415,GY,PUL16,5.83126
416,GY,PUL16,6.37226
417,GY,PUL16,5.39566
418,GY,PUL16,5.75426
419,GY,PUL16,5.91626
420,GY,PUL16,5.52526
421,GY,PUL16,5.59526
422,GY,PUL16,6.06526
423,GY,PUL16,5.76326
424,GY,PUL16,6.46826
425,GY,PUL16,5.69626
426,GY,PUL16,5.83126
427,GY,PUL16,6.03226
428,GY,PUL16,5.52526
429,GY,PUL16,5.98126
430,GY,PUL16,5.59126
431,GY,PUL16,6.89326
432,GY,PUL16,6.59226
433,GY,PUL16,5.87526
434,GY,PUL16,4.57326
435,GY,PUL16,5.94126
436,GY,PUL16,6.23426
437,GY,PUL16,5.76526
438,GY,PUL16,4.49027
439,GY,PUL16,6.43026
440,GY,PUL16,5.28526
441,GY,PUL16,5.71726
442,GY,PUL16,4.92136
443,GY,PUL16,4.71376
444,GY,PUL16,5.09436
445,GY,PUL16,3.52916
446,GY,PUL16,4.86526
447,GY,PUL16,4.94136
448,GY,PUL16,4.29236
449,GY,PUL16,4.67436
450,GY,PUL16,5.74326
451,GY,PUL16,3.98726
452,GY,PUL16,4.86526
453,GY,PUL16,4.36918
454,GY,PUL16,4.67436
455,GY,PUL16,4.73866
456,GY,PUL16,7.05326
1,GY,PUL17,6.652908333
2,GY,PUL17,7.500908333
3,GY,PUL17,6.925908333
4,GY,PUL17,8.477508333
5,GY,PUL17,7.230908333
6,GY,PUL17,8.372608333
7,GY,PUL17,7.653908333
8,GY,PUL17,8.292608333
9,GY,PUL17,6.778908333
10,GY,PUL17,7.136908333
11,GY,PUL17,7.307908333
12,GY,PUL17,7.854808333
13,GY,PUL17,6.846908333
14,GY,PUL17,8.332908333
15,GY,PUL17,7.736408333
16,GY,PUL17,7.792908333
17,GY,PUL17,7.875008333
18,GY,PUL17,8.291908333
